sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
cflobvdd-multi-input-2.c,4.281164666666666,164857.33333333334,core-0-bad-exit-code,151,3030
cflobvdd-multi-input-3.c,17.106838,201449.33333333334,core-0-bad-exit-code,188,30303000
cflobvdd-multi-input-4.c,44.750586,238564.0,core-0-bad-exit-code,225,30303030
cflobvdd-multi-input-5.c,147.09014333333334,298390.6666666667,core-0-bad-exit-code,262,3030303030000000
cflobvdd-multi-input-6.c,381.8932316666667,360564.0,core-0-bad-exit-code,299,3030303030300000
cflobvdd-bit-inversion-6.c,77.737656,1002849.3333333334,core-0-bad-exit-code,156,3300
recursive-factorial-fail-1-35.c,276.9924186666667,1539454.6666666667,core-0-bad-exit-code,398,3100
simple-if-else-1-35.c,22.891053333333332,546510.6666666666,core-0-bad-exit-code,107,3100
recursive-ackermann-1-35.c,85.45314499999999,1053933.3333333333,core-0-bad-exit-code,270,3100
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,36.074962666666664,823900.0,core-0-bad-exit-code,189,3100
simple-if-without-else-1-35.c,10.002699333333332,522344.0,core-0-bad-exit-code,106,3100
three-level-nested-loop-fail-1-35.c,115.180356,1893440.0,core-0-bad-exit-code,393,3100
simple-increasing-loop-1-35.c,39.569243666666665,927296.0,core-0-bad-exit-code,269,3100
memory-access-fail-1-35.c,,,,,
simple-if-else-reverse-1-35.c,23.122124666666668,546018.6666666666,core-0-bad-exit-code,105,3100
simple-assignment-1-35.c,8.232747333333334,502958.6666666667,core-0-bad-exit-code,91,0000
division-by-zero-3-35.c,7.401893333333334,480848.0,core-0-division-by-zero,76,3000
cflobvdd-bit-inversion-2.c,16.016735666666666,581201.3333333334,core-0-bad-exit-code,118,3200
cflobvdd-bit-inversion-5.c,66.10441266666668,897349.3333333334,core-0-bad-exit-code,149,3300
cflobvdd-bit-inversion-3.c,35.45094366666667,681777.3333333334,core-0-bad-exit-code,135,3300
invalid-memory-access-fail-2-35.c,8.391347,494412.0,core-0-store-invalid-address,79,3000
cflobvdd.c,5.73703,452061.3333333333,core-0-load-seg-fault,31,0000
nested-if-else-1-35.c,23.673773666666666,569261.3333333334,core-0-bad-exit-code,113,3100
recursive-fibonacci-1-10.c,137.85825133333333,1218076.0,core-0-bad-exit-code,230,3100
nested-if-else-reverse-1-35.c,22.397633666666668,570512.0,core-0-bad-exit-code,112,3100
cflobvdd-bit-inversion-4.c,51.607844,772105.3333333334,core-0-bad-exit-code,142,3300
return-from-loop-1-35.c,10.849350999999999,517805.3333333333,core-0-bad-exit-code,95,3000
simple-decreasing-loop-1-35.c,38.31276233333333,848662.6666666666,core-0-bad-exit-code,243,3100
