sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
recursive-factorial-fail-1-35.c,328.3644913333333,2473330.6666666665,core-0-bad-exit-code,398,31000000
simple-if-else-1-35.c,60.340644,544318.6666666666,core-0-bad-exit-code,107,31000000
recursive-ackermann-1-35.c,154.06861899999998,1245312.0,core-0-bad-exit-code,270,31000000
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,90.59226166666667,888741.3333333334,core-0-bad-exit-code,189,31000000
simple-if-without-else-1-35.c,15.358480666666667,513452.0,core-0-bad-exit-code,106,31000000
three-level-nested-loop-fail-1-35.c,423.58866400000005,2628476.0,core-0-bad-exit-code,393,31000000
simple-increasing-loop-1-35.c,103.76055433333333,976506.6666666666,core-0-bad-exit-code,269,31000000
memory-access-fail-1-35.c,,,,,
simple-if-else-reverse-1-35.c,62.817371,542761.3333333334,core-0-bad-exit-code,105,31000000
simple-assignment-1-35.c,15.458471666666668,494197.3333333333,core-0-bad-exit-code,91,3d000000
division-by-zero-3-35.c,11.803184333333334,469998.6666666667,core-0-division-by-zero,76,30000000
invalid-memory-access-fail-2-35.c,11.713944666666668,486174.6666666667,core-0-store-invalid-address,79,30000000
nested-if-else-1-35.c,61.085694,570173.3333333334,core-0-bad-exit-code,113,31000000
recursive-fibonacci-1-10.c,296.123316,1636872.0,core-0-bad-exit-code,230,31000000
nested-if-else-reverse-1-35.c,58.243266000000006,571208.0,core-0-bad-exit-code,112,31000000
return-from-loop-1-35.c,15.837871333333334,510609.3333333333,core-0-bad-exit-code,95,30000000
simple-decreasing-loop-1-35.c,91.97797966666667,920138.6666666666,core-0-bad-exit-code,243,31000000
