sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
cflobvdd-bit-inversion-6.c,93.16051933333334,2245966.6666666665,core-0-bad-exit-code,156,3300
recursive-factorial-fail-1-35.c,368.21220999999997,2916008.0,core-0-bad-exit-code,398,3100
simple-if-else-1-35.c,32.085196,1737618.6666666667,core-0-bad-exit-code,107,3100
recursive-ackermann-1-35.c,113.641682,2348226.6666666665,core-0-bad-exit-code,270,3100
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,48.58148133333333,2069854.6666666667,core-0-bad-exit-code,189,3100
simple-if-without-else-1-35.c,20.536330666666668,1712796.0,core-0-bad-exit-code,106,3100
cflobvdd-multi-input-3.c,30.674244666666667,1886181.3333333333,core-0-bad-exit-code,188,3000
three-level-nested-loop-fail-1-35.c,147.66036533333332,3290378.6666666665,core-0-bad-exit-code,393,3100
simple-increasing-loop-1-35.c,54.338568,2194333.3333333335,core-0-bad-exit-code,269,3100
memory-access-fail-1-35.c,,,,,
cflobvdd-multi-input-5.c,50.545643000000005,2037318.6666666667,core-0-bad-exit-code,262,3000
simple-if-else-reverse-1-35.c,31.808368,1738474.6666666667,core-0-bad-exit-code,105,3100
simple-assignment-1-35.c,18.740032666666668,1689946.6666666667,core-0-bad-exit-code,91,0000
division-by-zero-3-35.c,17.254136,1660996.0,core-0-division-by-zero,76,3000
cflobvdd-bit-inversion-2.c,27.007505,1781084.0,core-0-bad-exit-code,118,3200
cflobvdd-multi-input-6.c,66.01463833333334,2142736.0,core-0-bad-exit-code,299,3000
cflobvdd-bit-inversion-5.c,84.52478966666666,2131216.0,core-0-bad-exit-code,149,3300
cflobvdd-bit-inversion-3.c,45.826902999999994,1893954.6666666667,core-0-bad-exit-code,135,3300
invalid-memory-access-fail-2-35.c,18.989005333333335,1677458.6666666667,core-0-store-invalid-address,79,3000
cflobvdd-multi-input-4.c,35.519176333333334,1943164.0,core-0-bad-exit-code,225,3000
cflobvdd.c,15.864044999999999,1625469.3333333333,core-0-load-seg-fault,31,0000
nested-if-else-1-35.c,31.685331333333334,1765372.0,core-0-bad-exit-code,113,3100
recursive-fibonacci-1-10.c,169.967433,2522890.6666666665,core-0-bad-exit-code,230,3100
nested-if-else-reverse-1-35.c,31.615742666666666,1765924.0,core-0-bad-exit-code,112,3100
cflobvdd-bit-inversion-4.c,63.663767,1992800.0,core-0-bad-exit-code,142,3300
return-from-loop-1-35.c,19.533389666666665,1704981.3333333333,core-0-bad-exit-code,95,3000
cflobvdd-multi-input-2.c,24.629893999999997,1799593.3333333333,core-0-bad-exit-code,151,3000
simple-decreasing-loop-1-35.c,51.63330366666667,2104226.6666666665,core-0-bad-exit-code,243,3100
