sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
cflobvdd-bit-inversion-6.c,114.53559766666667,2468944.0,core-0-bad-exit-code,156,3300
recursive-factorial-fail-1-35.c,355.32029200000005,3601496.0,core-0-bad-exit-code,398,3100
simple-if-else-1-35.c,34.41878766666667,1740628.0,core-0-bad-exit-code,107,3100
recursive-ackermann-1-35.c,127.89718433333333,2451828.0,core-0-bad-exit-code,270,3100
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,69.628269,2100552.0,core-0-bad-exit-code,189,3100
simple-if-without-else-1-35.c,24.945095,1714229.3333333333,core-0-bad-exit-code,106,3100
cflobvdd-multi-input-3.c,43.56015633333333,1898690.6666666667,core-0-bad-exit-code,188,3000
three-level-nested-loop-fail-1-35.c,218.43486666666664,3553552.0,core-0-bad-exit-code,393,3100
simple-increasing-loop-1-35.c,81.06128433333333,2211438.6666666665,core-0-bad-exit-code,269,3100
memory-access-fail-1-35.c,,,,,
cflobvdd-multi-input-5.c,66.399492,2071848.0,core-0-bad-exit-code,262,3000
simple-if-else-reverse-1-35.c,34.85539966666667,1742253.3333333333,core-0-bad-exit-code,105,3100
simple-assignment-1-35.c,22.911271666666664,1691949.3333333333,core-0-bad-exit-code,91,0000
division-by-zero-3-35.c,20.086863333333334,1661417.3333333333,core-0-division-by-zero,76,3000
cflobvdd-bit-inversion-2.c,34.01658,1800288.0,core-0-bad-exit-code,118,3200
cflobvdd-multi-input-6.c,82.885678,2191560.0,core-0-bad-exit-code,299,3000
cflobvdd-bit-inversion-5.c,97.10815266666667,2317980.0,core-0-bad-exit-code,149,3300
cflobvdd-bit-inversion-3.c,54.99990333333333,1962034.6666666667,core-0-bad-exit-code,135,3300
invalid-memory-access-fail-2-35.c,21.570083666666665,1680410.6666666667,core-0-store-invalid-address,79,3000
cflobvdd-multi-input-4.c,49.138906999999996,1959148.0,core-0-bad-exit-code,225,3000
cflobvdd.c,16.823034333333336,1625468.0,core-0-load-seg-fault,31,0000
nested-if-else-1-35.c,34.996094,1771606.6666666667,core-0-bad-exit-code,113,3100
recursive-fibonacci-1-10.c,183.22004266666667,2762964.0,core-0-bad-exit-code,230,3100
nested-if-else-reverse-1-35.c,34.95552933333334,1772397.3333333333,core-0-bad-exit-code,112,3100
cflobvdd-bit-inversion-4.c,72.03915500000001,2119656.0,core-0-bad-exit-code,142,3300
return-from-loop-1-35.c,23.454661333333334,1706497.3333333333,core-0-bad-exit-code,95,3000
cflobvdd-multi-input-2.c,32.413563,1810541.3333333333,core-0-bad-exit-code,151,3000
simple-decreasing-loop-1-35.c,67.91053766666667,2135821.3333333335,core-0-bad-exit-code,243,3100
