sample,runtime_secs,memory_usage_kb,bad_state,bad_step,bad_input
cflobvdd-bit-inversion-6.c,147.29891733333332,7126965.333333333,core-0-bad-exit-code,156,3300
recursive-factorial-fail-1-35.c,181.54859299999998,8050392.0,core-0-bad-exit-code,398,3100
simple-if-else-1-35.c,42.052002333333334,2684282.6666666665,core-0-bad-exit-code,107,3100
recursive-ackermann-1-35.c,103.12608633333333,4818028.0,core-0-bad-exit-code,270,3100
nested-recursion-fail-1-35.c,,,,,
two-level-nested-loop-1-35.c,66.83002966666668,3419581.3333333335,core-0-bad-exit-code,189,3100
simple-if-without-else-1-35.c,21.579945999999996,1905425.3333333333,core-0-bad-exit-code,106,3100
cflobvdd-multi-input-3.c,40.07497466666666,2624472.0,core-0-bad-exit-code,188,3000
three-level-nested-loop-fail-1-35.c,218.35902066666665,9718496.0,core-0-bad-exit-code,393,3100
simple-increasing-loop-1-35.c,79.24851,3900740.0,core-0-bad-exit-code,269,3100
memory-access-fail-1-35.c,,,,,
cflobvdd-multi-input-5.c,73.280383,4029429.3333333335,core-0-bad-exit-code,262,3000
simple-if-else-reverse-1-35.c,42.676244,2687940.0,core-0-bad-exit-code,105,3100
simple-assignment-1-35.c,19.827598333333334,1815149.3333333333,core-0-bad-exit-code,91,3d00
division-by-zero-3-35.c,16.150443,1722716.0,core-0-division-by-zero,76,3000
cflobvdd-bit-inversion-2.c,30.887655,2210392.0,core-0-bad-exit-code,118,3200
cflobvdd-multi-input-6.c,98.88202966666667,5256298.666666667,core-0-bad-exit-code,299,3000
cflobvdd-bit-inversion-5.c,129.63306333333333,6380630.666666667,core-0-bad-exit-code,149,3300
cflobvdd-bit-inversion-3.c,65.73292566666667,3521405.3333333335,core-0-bad-exit-code,135,3300
invalid-memory-access-fail-2-35.c,17.900296,1780332.0,core-0-store-invalid-address,79,3000
cflobvdd-multi-input-4.c,45.827467333333324,2882474.6666666665,core-0-bad-exit-code,225,3000
nested-if-else-1-35.c,41.87057433333333,2769217.3333333335,core-0-bad-exit-code,113,3100
recursive-fibonacci-1-10.c,152.31603033333332,7505948.0,core-0-bad-exit-code,230,3100
nested-if-else-reverse-1-35.c,41.502643,2769314.6666666665,core-0-bad-exit-code,112,3100
cflobvdd-bit-inversion-4.c,91.02117300000002,4857434.666666667,core-0-bad-exit-code,142,3300
return-from-loop-1-35.c,18.658265,1870866.6666666667,core-0-bad-exit-code,95,3000
cflobvdd-multi-input-2.c,28.445482333333334,2280785.3333333335,core-0-bad-exit-code,151,3000
simple-decreasing-loop-1-35.c,61.778399,3602648.0,core-0-bad-exit-code,243,3100
