file,n,qubits
32_12bad_const,1,0
32_12bad_const,2,8
32_12bad_const,3,0
32_12bad_const,4,0
32_12bad_const,5,0
32_12bad_const,6,0
32_12bad_const,7,0
32_12bad_const,8,0
32_12bad_const,9,32
32_12bad_const,10,32
32_12bad_const,11,32
32_12bad_const,12,172
32_12bad_const,13,4
32_12bad_const,14,760
32_12bad_const,15,38
32_12bad_const,16,793
32_12bad_const,17,857
32_12bad_const,18,332
32_12bad_const,19,1176
32_12bad_const,20,259
32_12bad_const,21,710
32_12bad_const,22,131
32_12bad_const,23,1220
32_12bad_const,24,1053
32_12bad_const,25,3370
32_12bad_const,26,2308
32_12bad_const,27,2648
32_12bad_const,28,4427
32_12bad_const,29,5538
32_12bad_const,30,2532
32_12bad_const,31,1808
32_12bad_const,32,6021
32_12bad_const,33,7359
32_12bad_const,34,7211
32_12bad_const,35,6333
32_12bad_const,36,5889
32_12bad_const,37,6391
32_12bad_const,38,10683
32_12bad_const,39,6267
32_12bad_const,40,9143
32_12bad_const,41,10998
32_12bad_const,42,11154
32_12bad_const,43,10741
32_12bad_const,44,9993
32_12bad_const,45,9418
32_12bad_const,46,9902
32_12bad_const,47,10683
32_12bad_const,48,6267
32_12bad_const,49,9143
32_12bad_const,50,10998
32_12bad_const,51,11154
32_12bad_const,52,10741
32_12bad_const,53,9993
32_12bad_const,54,9418
32_12bad_const,55,9902
32_12bad_const,56,10683
32_12bad_const,57,6267
32_12bad_const,58,9143
32_12bad_const,59,10998
32_12bad_const,60,11154
32_12bad_const,61,10741
32_12bad_const,62,9993
32_12bad_const,63,9418
32_12bad_const,64,9902
32_12bad_const,65,10683
32_12bad_const,66,6267
32_12bad_const,67,9143
32_12bad_const,68,10998
32_12bad_const,69,11154
32_12bad_const,70,10741
32_12bad_const,71,9993
32_12bad_const,72,9418
32_12bad_const,73,9902
32_12bad_const,74,10683
32_12bad_const,75,6267
32_12bad_const,76,9143
32_12bad_const,77,10998
32_12bad_const,78,11154
32_12bad_const,79,10741
32_12bad_const,80,9993
32_baseline,1,0
32_baseline,2,0
32_baseline,3,0
32_baseline,4,0
32_baseline,5,0
32_baseline,6,0
32_baseline,7,0
32_baseline,8,0
32_baseline,9,0
32_baseline,10,0
32_baseline,11,0
32_baseline,12,0
32_baseline,13,0
32_baseline,14,0
32_baseline,15,0
32_baseline,16,0
32_baseline,17,0
32_baseline,18,0
32_baseline,19,0
32_baseline,20,0
32_baseline,21,0
